restaurant_name,address,zip_code,restaurant_style,rating_count,avg_rating,price_range,image
Roch's Place,101 N Main St,61873,Burgers Sports Bars ,0,0,2,https://s3-media4.fl.yelpcdn.com/bphoto/V4NQXC4Q3xUQt4ygENupJw/o.jpg
Kung Fu Tea,707 S 6th St,61820,Bubble Tea Coffee & Tea Juice Bars & Smoothies ,0,0,2,https://s3-media3.fl.yelpcdn.com/bphoto/0s1Sbf5LevY7xRnUkrhiBQ/o.jpg
Niro's Gyros,2001 W Springfield Ave,61821,Greek ,0,0,1,https://s3-media4.fl.yelpcdn.com/bphoto/BSW21AefoU8fHUlkDefjUw/o.jpg
Billy Barooz Bar & Grill,2521 Village Green Pl,61822,Sports Bars American (Traditional) ,0,0,2,https://s3-media3.fl.yelpcdn.com/bphoto/38dUwJoXVodfaZYYD3jurw/o.jpg
La Bamba,1905 Glenn Park Dr,61821,Mexican ,0,0,1,https://s3-media2.fl.yelpcdn.com/bphoto/9NCy1GebExz4LQh1hsVREw/o.jpg
Einstein Bros Bagels,901 W University Ave,61801,Breakfast & Brunch Sandwiches ,0,0,1,https://s3-media4.fl.yelpcdn.com/bphoto/7e_o6RvNsHXPFSuZeJTa_w/o.jpg
K-Bowl,39 E Green St,61820,Poke ,0,0,1,https://s3-media1.fl.yelpcdn.com/bphoto/RKXGcQqI0TuvC0GnJaHVtg/o.jpg
Sushi Kame,132 W Church St,61820,Sushi Bars Japanese ,0,0,2,https://s3-media3.fl.yelpcdn.com/bphoto/hNm9jXKyZyR6ZGQmHDA7nQ/o.jpg
Coffee & Friends,218 N Market St,60957,Cafes Coffee & Tea Bakeries ,0,0,0,https://s3-media4.fl.yelpcdn.com/bphoto/XVB8kh4DVvRliV3NwuN2qQ/o.jpg
Monicals Pizza,102 N Sycamore St,61956,Pizza ,0,0,2,https://s3-media4.fl.yelpcdn.com/bphoto/w2vrGdgVIZuonacfErSuCQ/o.jpg
Rubens Chocolates,1602 E University Ave,61801,Chocolatiers & Shops ,0,0,3,https://s3-media3.fl.yelpcdn.com/bphoto/34kzbmSOnxrxhKpCK0C0jA/o.jpg
El Patio,2506 Village Green Pl,61822,Mexican Salad Steakhouses ,0,0,2,https://s3-media3.fl.yelpcdn.com/bphoto/bfO2q8X5CW-1-qrXhvntlw/o.jpg
Cakes By Lori,,61853,Custom Cakes ,0,0,1,https://s3-media1.fl.yelpcdn.com/bphoto/9xsZlZRqkBkOOXnPHSoFUA/o.jpg
Sidney Saloon,204 S David St,61877,Pizza Sandwiches Bars ,0,0,0,https://s3-media1.fl.yelpcdn.com/bphoto/oBjrG3U47y5wTRVg9sW8_g/o.jpg
Green Jade,1109 W Windsor,61821,Chinese Seafood ,0,0,1,https://s3-media3.fl.yelpcdn.com/bphoto/_iow0eOxT80prFAJmAdk5A/o.jpg
Pekara Bakery and Bistro,116 N Neil St,61821,Creperies Sandwiches Gelato ,0,0,1,https://s3-media2.fl.yelpcdn.com/bphoto/26WtLQUNHI5LxoRAB3UzEQ/o.jpg
World Harvest Foods,306 Springfield Ave,61801,Cheese Shops Olive Oil International Grocery ,0,0,2,https://s3-media2.fl.yelpcdn.com/bphoto/TyYYXwMB-58hyPj0g_hWNg/o.jpg
Hamilton Walker's,201 N Neil St,61820,Seafood Steakhouses Bars ,0,0,3,https://s3-media3.fl.yelpcdn.com/bphoto/MYqa6qS_MyNiBYvTB0zRPg/o.jpg
Moe's Southwest Grill,2041 S Neil St,61820,Mexican Tex-Mex ,0,0,1,https://s3-media4.fl.yelpcdn.com/bphoto/CS14HNLL5r61rRW6Kp4GuA/o.jpg
Timpone's,710 S Goodwin Ave,61801,Italian Steakhouses ,0,0,2,https://s3-media3.fl.yelpcdn.com/bphoto/U2D6GFY7cEwhjjJUyNp6Hw/o.jpg
Steak ’n Shake,1709 S Neil St,61820,American (Traditional) Fast Food Burgers ,0,0,1,https://s3-media3.fl.yelpcdn.com/bphoto/bXlWvXM3NyULobHActSeKw/o.jpg
The Spice Box,905 S Goodwin Ave,61801,Specialty Food ,0,0,2,https://s3-media2.fl.yelpcdn.com/bphoto/W7GHXGvbJAAbFgaRYxmhmg/o.jpg
Tiny Greens,2314 N High Cross Rd,61802,Farmers Market ,0,0,0,https://s3-media2.fl.yelpcdn.com/bphoto/sPngUmDDgNs_U41_u2ojJA/o.jpg
Betsy's Bistro Mobile,,61801,Food Trucks ,0,0,1,https://s3-media2.fl.yelpcdn.com/bphoto/ki5ADNxlLrqmRRNPq3SQjw/o.jpg
Super Taco,523 W Town Center Blvd,61822,Mexican ,0,0,1,https://s3-media4.fl.yelpcdn.com/bphoto/N5fHOZ4J_XxrfKwQn5rSvw/o.jpg
Old Chicago,1910 N Neil St,61820,Pizza American (Traditional) Sports Bars ,0,0,2,https://s3-media4.fl.yelpcdn.com/bphoto/TdoXKEh-tMQHaCORVvtzSg/o.jpg
The Clark Bar,207 W Clark St,61820,Karaoke American (Traditional) ,0,0,1,https://s3-media2.fl.yelpcdn.com/bphoto/KgrNFc_lGPohHgEljzMrXA/o.jpg
Common Ground Food Co-Op,300 S Broadway,61801,Grocery CSA ,0,0,2,https://s3-media2.fl.yelpcdn.com/bphoto/Rqow834k5K188OyfyaRQvg/o.jpg
Thomasboro Grocery,608 N Commercial St,61878,Grocery ,0,0,2,https://s3-media3.fl.yelpcdn.com/bphoto/_qkZk-qu3ZJWnFAEFbyOAw/o.jpg
Caffe Paradiso,801 S Lincoln Ave,61801,Coffee & Tea Sandwiches Shaved Ice ,0,0,1,https://s3-media3.fl.yelpcdn.com/bphoto/7sGoWIbPPdqdZV9KITz-Dg/o.jpg
The Hub Champaign,601 S 1st St,61820,Sports Bars American (Traditional) ,0,0,2,https://s3-media4.fl.yelpcdn.com/bphoto/6XduaQouPUT2p5d55J1CBw/o.jpg
Biaggi's Ristorante Italiano,2235 S Neil St,61820,Italian ,0,0,2,https://s3-media1.fl.yelpcdn.com/bphoto/ISiYezRLxOPIwNVpScqaog/o.jpg
Alexander's Steakhouse,202 W Anthony Dr,61821,Steakhouses ,0,0,3,https://s3-media4.fl.yelpcdn.com/bphoto/Kv0Y1h-OO6bMASP56unYyw/o.jpg
Farmhouse Restaurant At Harvest Market,2029 South Neil St,61820,American (Traditional) Delis Breakfast & Brunch ,0,0,3,https://s3-media1.fl.yelpcdn.com/bphoto/CtzicTnYg6aGlihPZWOBeg/o.jpg
Chester's BBQ,302 S Neil St,61820,Food Trucks Barbeque ,0,0,2,https://s3-media3.fl.yelpcdn.com/bphoto/DuQYMnNQWOQE-ITxwHGwqQ/o.jpg
Deb's Diner,17 S Main St,61956,American (Traditional) ,0,0,0,
QDOBA Mexican Eats,1401 W Green St,61801,Mexican Fast Food ,0,0,1,https://s3-media2.fl.yelpcdn.com/bphoto/y5nCPvr74qKyEukjpQJlvg/o.jpg
