"restaurant_name","address","zip_code","restaurant_style","rating_count","avg_rating","price_range","image"
"Avatar's Restaurant","2656 Bridgeway Blvd","94965","Indian Asian Fusion Mexican ",0,0,2,"https://s3-media4.fl.yelpcdn.com/bphoto/PVWgbhFT-iwXeufdennerA/o.jpg"
"New England Lobster Market & Eatery","824 Cowan Rd","94010","Seafood Markets Seafood Tapas/Small Plates ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/eIEvQKEdybaW7Xx3ZYRsyw/o.jpg"
"Farmhouse Kitchen Thai Cuisine","710 Florida St","94110","Thai Comfort Food ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/AC0JE-nnMd-Ai3SlA7IPfg/o.jpg"
"Daeho Kalbijjim & Beef Soup","1620 Post St","94115","Korean Soup Noodles ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/LaFYy38ZDs39NsqIm6Wz4g/o.jpg"
"Dumpling Alley","2512 Clement St","94121","Chinese ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/HAe5umGMPSy-ehV-T-MWVg/o.jpg"
"Tselogs","552 Jones St","94102","Filipino ",0,0,1,"https://s3-media1.fl.yelpcdn.com/bphoto/QxxPAP7fBsYuQFjbvoqlwg/o.jpg"
"Sushirrito","226 Kearny St","94108","Japanese Sushi Bars Asian Fusion ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/32yNKzjDXawK7XoIdQ74ug/o.jpg"
"Inle Burmese Cuisine","1298 Church St","94114","Burmese Noodles ",0,0,2,"https://s3-media2.fl.yelpcdn.com/bphoto/YOtrh28hTt2hZyvMjQNeIw/o.jpg"
"Hot Sauce and Panko","1468 Hyde St","94109","Chicken Wings Specialty Food ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/fBs8B6-y9OFSPtvMHoFrsw/o.jpg"
"The Barn","3068 N Cabrillo Hwy","94019","Burgers ",0,0,2,"https://s3-media4.fl.yelpcdn.com/bphoto/cbsImF0RWBxkkOMcaeWCNg/o.jpg"
"Mac Daddy","1453 18th St","94107","American (Traditional) Salad Breakfast & Brunch ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/uEjIEoVbIr8U_uW7g1k-PA/o.jpg"
"Golden Boy Pizza","542 Green St","94133","Pizza Italian ",0,0,1,"https://s3-media1.fl.yelpcdn.com/bphoto/F8OxoXdS51h2VfU9Je2cNQ/o.jpg"
"The Front Porch","65 29th St","94110","Southern Cajun/Creole American (Traditional) ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/0fmMVyqSKOMIqtkQksUTUQ/o.jpg"
"Hook Fish","4542 Irving St","94122","Seafood Tacos ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/f1t0l-gKYDwLPjM9x0YgmQ/o.jpg"
"Dinosaurs","2275 Market St","94114","Vietnamese Sandwiches ",0,0,1,"https://s3-media2.fl.yelpcdn.com/bphoto/7IYQ1nkmrGJgNhTDEr7M4Q/o.jpg"
"Matterhorn Restaurant & Bakery","2323 Van Ness Ave","94109","Modern European Fondue ",0,0,0,"https://s3-media4.fl.yelpcdn.com/bphoto/VeUqm7KT_YXDBBHVaCt1Mg/o.jpg"
"Vientian Café","3801 Allendale Ave","94619","Vietnamese Thai Laotian ",0,0,1,"https://s3-media1.fl.yelpcdn.com/bphoto/6UZmhoIN7NcFQ3NE3eO1Hw/o.jpg"
"RT Rotisserie","302 Broderick St","94117","Chicken Shop Bars American (New) ",0,0,0,"https://s3-media2.fl.yelpcdn.com/bphoto/mgWQtAcbtc0fZ4PXBAHlKA/o.jpg"
"HRD","521A 3rd St","94107","Korean Asian Fusion Mexican ",0,0,2,"https://s3-media3.fl.yelpcdn.com/bphoto/PyFG7Chlw7mH5IX7WZDVcA/o.jpg"
"Fog Harbor Fish House","Pier 39","94133","Seafood Bars ",0,0,2,"https://s3-media1.fl.yelpcdn.com/bphoto/Lv7tIRX3Bim9bKqtWifmNg/o.jpg"
